Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(1),Data e nënshkrimit të Aneks kontratës(1),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(2),Data e nënshkrimit të Aneks kontratës(2),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(3),Data e nënshkrimit të Aneks kontratës(3),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(4),Data e nënshkrimit të Aneks kontratës(4),Data e pagesës së situacionit(1),Shuma e pagesës së situacionit(1),Data e pagesës së situacionit(2),Shuma e pagesës së situacionit(2),Data e pagesës së situacionit(3),Shuma e pagesës së situacionit(3),Data e pagesës së situacionit(4),Shuma e pagesës së situacionit(4),Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
1,1,45,2,1,1,,Transporti i nxënësve dhe arsimtarëve - Lot 16 - Ritender,18.07.18,08.10.18,19.09.18,20.07.18,,,31.08.18,0,19,,2,08.10.18,18.10.18,,09.10.18,0,0,"8,184.00",1,1,1,Po,4,"Minibus ""Tini""",12.10.18,"12,Muaj",,"8,184.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
1,1,45,2,1,1,,Transporti i nxënësve dhe arsimtarëve - Lot 17 - Ritender,18.07.18,08.10.18,19.09.18,20.07.18,,,31.08.18,0,19,,2,08.10.18,18.10.18,,09.10.18,0,0,"6,696.00",1,1,1,Po,4,"Minibus ""Ismet Krasniqi""",12.10.18,"12,Muaj",,"6,696.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
1,1,45,2,1,1,,Transporti i nxënësve dhe arsimtarëve - Lot 18 - Ritender,18.07.18,08.10.18,19.09.18,20.07.18,,,31.08.18,0,19,,2,08.10.18,18.10.18,,09.10.18,0,0,"12,276.00",1,1,1,Po,4,"Minibus ""Afrim Beka""",12.10.18,"12,Muaj",,"12,276.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
2,1,153,1,2,1,,Furnizim me pije dhe artikuj të tjerë për nevojat e Byfes së Komunës ,19.11.18,19.11.18,19.11.18,23.11.18,,,30.11.18,9,2,,0,05.12.18,12.12.18,,05.12.18,0,0,"10,000.00",1,1,1,,4,A&B Market,13.12.18,6 Muaj,,"9,194.28",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Valmire Mustafa
2,1,144,2,3,6,,Vlerësimi Strategjik Mjedisor për Planin e Mobilitetit të Qëndrueshëm Urban,13.11.18,13.11.18,07.11.18,19.11.18,,,27.11.18,7,1,,0,05.12.18,13.12.18,,06.12.18,0,0,"9,995.00",1,1,1,,4,L-Consulting,14.12.18,30 Ditë,14.01.19,"8,300.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Planifikimit Strategjik dhe Zhvillim të Qëndrueshëm,Valmire Mustafa
,,115,2,2,1,,Dekorimi i qytetit për festat e fundvitit,14.09.18,24.08.18,13.09.18,14.09.18,2,,12.10.18,3,3,,1,24.08.18,06.12.18,,31.10.18,1,1,"75,000.00",1,1,1,,4,"""Link Media Plus"" Sh.p.k",07.12.18,3 Muaj,07.03.18,"54,980.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Flamur Sallahu
2,1,124,1,2,1,36,Furnizimi me tripod projektora dhe drona për nevojat e Komunës ,16.10.18,29.10.18,31.10.18,09.11.18,1,,03.12.18,24,3,,1,22.02.19,12.03.19,,21.02.19,,,"15,600.00",1,1,1,jo,4,FutureBits&Techcom,15.03.19,30 Ditë,,"11,652.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Valmire Mustafa
2,1,133,5,1,1,45,Ndërtimi i infrastrukturës në disa rrugë të fshatit Hajvali dhe të fshatit Mramor në Prishtinë,31.10.18,30.10.18,08.10.18,06.11.18,,,20.12.18,65,17,,6,15.02.19,15.03.19,,19.02.19,,,"823,532.34",1,1,1,,4,Gashi Ing,15.03.19,120 Ditë,,"533,535.98",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Kaltrina Dalipi
1,1,134,5,2,1,45,"Rikonstruimi i rrugës dhe trotuareve në rrugën ""Sheshi i Arbërit"" ",11.07.18,26.10.18,11.07.18,08.11.18,,,03.12.18,38,7,,1,28.12.18,31.12.18,,25.12.18,0,0,"142,138.98",1,1,1,jo,4,Rexha Sh.P.K,23.01.19,90 Ditë,,"127,035.84",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Nexhmi Mekolli
,,135,1,2,1,,Furnizimi dhe montimi i rafteve për Arkivin e Drejtorisë së Urbanizmit ,12.11.18,14.08.18,11.11.18,12.11.18,,,04.12.18,2,2,,0,,22.01.19,,,,,"10,500.00",1,1,1,,4,Blendi,25.01.19,30 Ditë,25.02.19,"9,499.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Urbanizmit,Flamur Sallahu
,,45,2,2,1,,Transporti i nxënësve dhe arsimtarëve - Lot 21 ,06.11.18,08.10.18,19.09.18,06.11.18,,,29.11.18,4,4,,1,08.10.18,11.12.18,,10.12.18,0,0,"42,100.00",1,1,1,,4,"NTP ""Dita""",21.12.18,12 Muaj,,"35,490.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
,,136,1,2,1,36,"Furnizimi,prodhimi dhe vendosja e numrave të adresave në Komunën e Prishtinës ",04.09.18,07.09.18,04.11.18,12.11.18,,,03.12.18,29,3,,1,15.02.19,13.03.19,,19.02.19,1,0,"25,000.00",1,1,1,jo,4,RSM Company,18.03.18,6 Muaj,20.09.19,"22,325.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Urbanizmit,Shehide Jashari
,,138,5,2,1,,"Sanimi me zhavor i rrugëve sekondare ,në Teritorin e Komunës së Prishtinës",30.10.18,,,12.11.18,,,,0,0,,0,,04.03.19,,,,,"185,200.00",1,1,1,,4,Bashkimi,05.03.19,365 Ditë,12.03.20,"89,160.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Shehide Jashari
,1,139,5,2,1,,Sanimi-ngritja e kapakëve të pusetave në rrugët dhe trotuaret në Komunën e Prishtinës ,15.08.18,20.08.18,07.11.18,08.11.18,,,06.12.18,30,3,,1,17.12.18,04.12.18,,23.12.18,0,0,"29,800.00",1,1,1,,,"N.T.P ""Bashkimi""",28.12.18,180 Ditë,,"19,650.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Albina Bajrami
2,1,140,5,2,1,45,"Ndërtimi i rrugës ""Elez Berisha"" te qendra tregtare Avori",08.10.18,30.10.18,11.11.18,21.11.18,,,17.12.18,30,6,,1,15.02.19,27.02.19,,19.02.19,0,0,"101,959.50",1,1,1,,4,Rexha Sh.P.K,01.03.19,60 Ditë,,"80,506.30",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Shqipe Isufi
2,1,141,4,1,2,74,"Konkurs projektimi për konservimin dhe adaptimin e shtëpisë shkollë në Muzeun e shtëpive shkolla, (Lagja e Herticëve, Prishtinë) ",29.10.18,30.10.18,06.11.18,09.11.18,,,03.12.18,16,2,,0,,,08.01.19,,,,"50,000.00",,1,3,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Shqipe Isufi
2,1,143,5,2,1,,Sanimi I gropave dhe deformimeve te shtresave te asfaltit ne rrugët dhe trotuaret e Komunës se Prishtinës ,07.11.18,09.11.18,13.11.18,16.11.18,,,12.12.18,20,4,,1,26.11.18,09.01.19,,30.12.18,0,0,"99,985.00",1,1,1,,4,Bashkimi ,10.01.19,12 Muaj,10.01.20,"77,955.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Valmire Mustafa
1,1,145,5,2,1,,"Ndërtimi i disa rrugëve në Lagjen Sofali krah të rrugës ""Trepça"" dhe disa rrugëve në Lagjen Kodra e Trimave krah të rrugës ""Dalip Alshiqi"" dhe Kalabri ",13.11.18,07.11.18,12.11.18,20.11.18,,,10.01.19,6,6,,0,,12.02.19,,05.02.19,0,0,"434,857.85",1,1,1,,4,"Grup i Operatorëve Ekonomik ""Kema Company"" sh.p.k. & NPSH Bageri",12.02.19,120 Ditë,,"314,999.38",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Flamur Sallahu
2,1,146,5,2,1,45,Rrenimi i objekteve te ndertuara pa leje ,05.11.18,07.11.18,,23.11.18,,,,0,0,,0,,,22.02.19,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Inspekcionit,Nexhmi Mekolli
1,1,147,1,2,1,45,"Furnizmi, montimi dhe servisimi i gjeneratorëve ",30.11.18,01.11.18,29.11.18,03.01.18,,,26.12.18,22,3,,1,,25.01.18,,15.01.19,0,0,"98,000.00",1,1,1,,4,Contanti Generators,23.01.19,12 Muaj,15.01.19,"95,499.76",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Verona Sekiraqa 
2,1,148,5,3,6,45,Ndërtimi i krahut të rrugës dhe kanalizimit fekal te lagja Leci-Prugovc ,27.11.18,14.11.18,26.11.18,27.11.18,,,07.12.18,15,6,,0,17.12.18,26.12.18,,17.12.18,0,0,"9,973.50",1,1,1,,4,Wenda,31.12.18,30  Ditë,,"9,333.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Kaltrina Dalipi
1,1,150,1,1,1,,Furnizimi me qumshtë për nxënësit e shkollave - niveli i ulët nga klasa e parë deri në të pestën ,19.11.18,19.11.18,,21.11.18,,,,0,0,,0,,,09.01.19,,,,,,,,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Nexhmi Mekolli
,1,151,5,2,1,45,"Ndërtimi i rrugës ""Dëshmorët e Sharbanëve"" në Kolovicë ",04.09.18,14.11.18,29.11.18,01.12.18,1,,26.12.18,33,4,,1,15.02.19,13.02.19,,06.02.19,1,0,"244,909.63",1,1,1,jo,4,Bashkimi,05.03.19,90 Ditë,,"184,538.08",4,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Nexhmi Mekolli
2,1,154,5,2,1,45,Sanimi i rrugeve dhe ndertimi i mureve ne lagjen Vneshta dhe Kodra e Trimave ,20.11.18,14.11.18,02.12.18,03.12.18,,,27.12.18,39,7,,3,14.11.18,01.03.19,,18.02.19,0,,"179,691.07",1,1,1,,4,"Grup i Operatorëve Ekonomik: ""Saba Belca"" & ""SB Construction"" Sh.P.K",04.03.19,90 Ditë,,"138,637.61",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Kaltrina Dalipi
,1,65,1,2,1,31,Furnizim me material shpenzues për RO-kabinetit - Lot 7,26.10.18,30.10.18,,01.11.18,,,,11,3,,0,,11.12.18,,,,,"15,000.00",1,1,1,Po,4,"N.P.T ""Medica""",13.12.18,12 Muaj,21.11.18,"13,888.59",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Albina Bajrami
,,116,2,2,1,,Mirëmbajtja dimërore e rrugëve rurale,24.07.18,13.08.18,18.09.18,20.09.18,,,02.11.18,26,6,,3,12.12.18,04.01.19,,17.12.18,,,"140,000.00",1,1,1,,4,"""Ve-Mor"" Sh.P.K",04.01.19,12 Muaj,08.01.20,"94,827.91",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shehide Jashari
1,1,114,5,2,1,,Ndërtimi i kanalizimit fekal dhe atmosferik mbrapa sheshit Zahir Pajaziti - Prishtinë,14.09.18,25.08.18,13.09.18,14.09.18,1,2,10.10.18,24,2,,0,,19.02.19,,10.02.19,0,0,"67,001.00",1,1,1,,,EUROFAMIS SH.A.,21.02.19,3 Muaj,,"63,954.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Flamur Sallahu
2,1,70,5,2,1,45,"Rikonstruimi i rrugëve Drenica,Ukshin Hoti,Robert Doll dhe asfaltimi i shtresës se fundit te mbistruktures se rruges Enver Maloku - RITENDER 2",28.05.18,04.06.18,06.06.18,07.12.18,,,27.12.18,21,2,,1,,04.03.19,,,,,"178,162.00",1,1,1,Po,4,Rahovica Comerce - Sh.P.K,05.03.19,100 Ditë,,"165,185.50",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Albina Bajrami
1,1,90,1,1,1,33,Furnizimi me pajisje mjeksore per QKMF dhe  QMU-lloto VI,24.07.18,20.04.18,23.07.18,01.08.18,,,18.12.18,,2,,1,30.01.18,13.03.19,,19.02.19,0,0,"10,000.00",1,1,1,Po,4,Komed,14.03.19,60-Dite,,"6,380.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Valmire Mustafa
